[2, 2, 2, 0, 1, 1, 1, 0, 0]:2
[2, 2, 1, 0, 2, 0, 0, 1, 0]:-2
[0, 0, 1, 0, 2, 1, 0, 2, 0]:-10
[1, 2, 2, 2, 1, 1, 0, 0, 2]:12
[0, 2, 1, 2, 1, 0, 0, 2, 0]:-2
[2, 1, 2, 1, 1, 2, 0, 0, 0]:-2
[1, 2, 2, 0, 0, 1, 0, 0, 0]:-1
[2, 0, 1, 0, 1, 2, 0, 0, 0]:-4
[2, 1, 2, 2, 1, 0, 0, 0, 0]:-6
[2, 2, 2, 0, 0, 1, 0, 0, 1]:14
[2, 2, 0, 0, 0, 1, 0, 0, 0]:-9
[0, 0, 2, 0, 1, 1, 0, 2, 0]:-1
[2, 0, 0, 2, 1, 0, 1, 0, 0]:-1
[2, 2, 1, 0, 1, 0, 2, 0, 1]:-2
[2, 1, 2, 1, 0, 1, 2, 0, 0]:-2
[2, 2, 1, 1, 2, 2, 1, 1, 2]:4
[1, 2, 0, 0, 1, 2, 0, 0, 0]:-1
[2, 2, 1, 0, 2, 0, 0, 1, 1]:-2
[2, 0, 1, 2, 0, 0, 0, 0, 0]:-1
[1, 2, 0, 2, 1, 1, 2, 0, 0]:-2
[2, 0, 2, 0, 1, 1, 1, 0, 2]:-2
[2, 2, 0, 2, 0, 1, 0, 0, 1]:2
[2, 1, 2, 1, 1, 2, 2, 0, 1]:-3
[2, 2, 1, 2, 2, 1, 1, 0, 0]:-12
[2, 2, 1, 2, 0, 0, 0, 1, 0]:-2
[0, 2, 1, 0, 1, 2, 2, 0, 0]:-2
[0, 0, 1, 2, 1, 2, 0, 0, 0]:-1
[2, 2, 1, 2, 1, 1, 2, 0, 0]:27
[2, 1, 2, 2, 0, 1, 0, 0, 1]:-2
[2, 0, 2, 0, 0, 1, 0, 0, 0]:-1
[2, 1, 2, 2, 1, 1, 1, 0, 2]:-6
[1, 2, 0, 2, 1, 1, 0, 0, 2]:9
[2, 2, 1, 2, 2, 1, 1, 1, 0]:-3
[0, 2, 0, 0, 0, 1, 0, 0, 0]:-5
[2, 2, 1, 2, 1, 0, 2, 1, 0]:6
[0, 0, 1, 2, 2, 1, 0, 0, 0]:-1
[2, 2, 0, 0, 0, 0, 1, 0, 1]:-1
[1, 2, 2, 0, 0, 0, 0, 0, 1]:-1
[2, 2, 1, 0, 0, 1, 2, 0, 0]:-2
[2, 0, 1, 0, 2, 0, 0, 0, 1]:-1
[0, 1, 2, 2, 1, 1, 2, 0, 0]:-7
[1, 2, 1, 2, 2, 1, 1, 2, 0]:11
[0, 2, 1, 0, 2, 0, 0, 0, 1]:-1
[2, 2, 1, 1, 2, 1, 2, 1, 2]:8
[1, 2, 1, 2, 1, 2, 2, 0, 0]:-3
[2, 0, 1, 2, 1, 2, 0, 0, 0]:-2
[0, 2, 1, 2, 1, 0, 0, 0, 0]:-2
[2, 2, 0, 0, 0, 0, 0, 1, 0]:4
[0, 2, 1, 0, 0, 0, 0, 0, 2]:-5
[2, 2, 1, 1, 2, 2, 1, 2, 1]:4
[1, 2, 1, 2, 2, 2, 0, 0, 1]:3
[2, 1, 1, 1, 2, 2, 2, 0, 1]:6
[1, 2, 2, 2, 1, 1, 0, 2, 0]:-3
[0, 2, 0, 0, 1, 0, 0, 2, 1]:-1
[1, 0, 2, 2, 1, 1, 2, 0, 0]:-2
[2, 2, 1, 1, 1, 2, 2, 0, 1]:-3
[2, 2, 1, 2, 2, 0, 1, 0, 1]:-3
[2, 2, 1, 0, 1, 1, 2, 0, 0]:-2
[2, 2, 0, 0, 1, 0, 0, 0, 1]:-1
[1, 2, 2, 2, 2, 1, 0, 1, 0]:3
[2, 2, 1, 1, 2, 2, 1, 1, 0]:-3
[2, 0, 1, 0, 0, 0, 1, 0, 2]:-3
[0, 2, 0, 0, 1, 0, 2, 0, 1]:-1
[1, 2, 1, 2, 0, 0, 0, 0, 0]:-1
[0, 0, 2, 0, 1, 1, 0, 0, 2]:-1
[2, 1, 1, 2, 2, 0, 1, 0, 0]:-2
[1, 2, 2, 2, 1, 1, 2, 0, 0]:-3
[2, 0, 1, 0, 2, 0, 1, 0, 0]:-3
[2, 0, 2, 0, 1, 0, 1, 0, 0]:-1
[0, 0, 1, 2, 2, 0, 0, 0, 1]:-1
[1, 2, 1, 2, 2, 2, 0, 1, 1]:6
[2, 2, 0, 2, 1, 1, 0, 0, 0]:20
[2, 0, 2, 2, 1, 1, 1, 0, 0]:-2
[1, 2, 1, 0, 2, 1, 2, 0, 0]:13
[2, 2, 1, 1, 1, 2, 2, 2, 1]:4
[2, 2, 1, 2, 1, 2, 2, 1, 1]:4
[2, 2, 1, 0, 2, 2, 1, 1, 0]:-3
[2, 0, 1, 1, 2, 0, 2, 0, 0]:-2
[2, 2, 1, 1, 0, 2, 0, 0, 1]:-2
[2, 0, 1, 0, 0, 2, 1, 0, 0]:-3
[2, 2, 1, 0, 0, 0, 1, 2, 1]:-2
[2, 0, 1, 0, 1, 0, 0, 2, 0]:-3
[2, 2, 1, 1, 2, 2, 1, 0, 1]:-3
[0, 2, 1, 1, 2, 2, 0, 0, 1]:-2
[2, 1, 2, 2, 0, 1, 1, 0, 0]:-2
[0, 0, 2, 0, 1, 1, 2, 0, 0]:-2
[2, 2, 1, 2, 1, 0, 0, 0, 0]:-4
[2, 1, 0, 2, 1, 1, 1, 2, 2]:-3
[0, 2, 1, 0, 0, 0, 2, 0, 0]:-2
[0, 2, 1, 0, 1, 0, 0, 0, 2]:-1
[0, 2, 1, 0, 0, 2, 0, 0, 0]:-2
[2, 2, 2, 0, 0, 0, 1, 0, 1]:2
[1, 2, 2, 2, 1, 1, 2, 1, 2]:20
[1, 2, 1, 0, 2, 0, 0, 0, 0]:28
[2, 0, 2, 0, 1, 1, 0, 0, 0]:-1
[0, 0, 1, 2, 2, 0, 1, 0, 0]:11
[1, 2, 1, 2, 2, 2, 1, 1, 0]:9
[2, 2, 0, 0, 0, 0, 0, 0, 1]:10
[2, 1, 0, 2, 2, 1, 1, 2, 0]:3
[2, 2, 1, 1, 0, 0, 0, 0, 0]:-1
[0, 0, 1, 0, 2, 2, 0, 0, 1]:1
[2, 2, 2, 2, 1, 1, 0, 0, 1]:10
[2, 2, 1, 0, 1, 0, 0, 0, 2]:-6
[2, 1, 2, 1, 2, 1, 0, 0, 0]:2
[0, 2, 2, 0, 1, 0, 1, 0, 0]:-1
[0, 2, 1, 2, 1, 1, 0, 2, 0]:-7
[2, 2, 1, 1, 2, 0, 0, 0, 0]:2
[2, 2, 1, 2, 0, 1, 0, 1, 0]:-2
[0, 2, 2, 0, 1, 1, 0, 0, 0]:-1
[2, 2, 0, 1, 0, 0, 1, 0, 0]:-1
[2, 0, 0, 0, 0, 1, 2, 0, 1]:-1
[0, 0, 0, 0, 0, 1, 2, 0, 0]:0
[2, 2, 1, 1, 2, 0, 1, 0, 0]:-2
[2, 0, 0, 2, 1, 0, 0, 0, 1]:-1
[0, 2, 1, 0, 0, 1, 2, 0, 0]:-6
[0, 2, 0, 0, 1, 2, 0, 0, 1]:-1
[2, 1, 2, 0, 2, 1, 0, 1, 0]:-2
[0, 2, 0, 0, 0, 0, 0, 0, 0]:4
[2, 0, 0, 2, 1, 1, 0, 0, 0]:-2
